CGD,ORF_ID,KEGG,Gene_Name,UNIPROT,Descripción1,Descripción2
C2_05850C_A,orf19.5209,CAALFM_C205850CA,orf19.5209,-, Protein of unknown function,Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6)
C2_05860C_A,orf19.5210,CAALFM_C205860CA,orf19.5210,A0A1D8PHJ0,,HTH APSES-type domain-containing protein
C2_05870W_A,orf19.5210.1,CAALFM_C205870WA,orf19.5210.1,A0A1D8PHI1,,Uncharacterized protein
C2_05900W_A,orf19.5212,CAALFM_C205900WA,orf19.5212,A0A1D8PHK1,,SUMO ligase
C2_05910W_A,orf19.5213,CAALFM_C205910WA,orf19.5213,A0A1D8PHH9, Putative protein of unknown function,CID domain-containing protein
C2_05960C_A,orf19.5216,CAALFM_C205960CA,orf19.5216,A0A1D8PHK2,,Uncharacterized protein
C1_12440W_A,orf19.5220,CAALFM_C112440WA,orf19.5220,-,,RNA exonuclease 4 (EC 3.1.-.-)
C1_12430W_A,orf19.5221,CAALFM_C112430WA,orf19.5221,A0A1D8PFD7,,CRIM domain-containing protein
C1_12420C_A,orf19.5223,CAALFM_C112420CA,orf19.5223,-,,#N/D
C1_12400C_A,orf19.5225,CAALFM_C112400CA,orf19.5225,A0A1D8PFF0,,#N/D
C1_12370W_A,orf19.5227,CAALFM_C112370WA,orf19.5227,A0A1D8PFG6, Chaperone component,Uncharacterized protein
C1_12350W_A,orf19.5229,CAALFM_C112350WA,orf19.5229,Q5A3P1, Protein of unknown function,#N/D
C1_12330W_A,orf19.5231,CAALFM_C112330WA,orf19.5231,A0A1D8PFC9,,Uncharacterized protein
C1_12300W_A,orf19.5233,CAALFM_C112300WA,orf19.5233,-,,#N/D
C1_12280C_A,orf19.5235,CAALFM_C112280CA,orf19.5235,Q5A3N5, Putative mitochondrial ribosomal protein of the large subunit,#N/D
C1_12250C_A,orf19.5238,CAALFM_C112250CA,orf19.5238,Q5A3N2, Protein of unknown function,Uncharacterized protein
C1_12240C_A,orf19.5239,CAALFM_C112240CA,orf19.5239,A0A1D8PFC1, Predicted alanine-tRNA ligase,Putative alanine--tRNA ligase
CR_04350C_A,orf19.524,CAALFM_CR04350CA,orf19.524,-, Protein of unknown function,UBR-type domain-containing protein
C1_12180C_A,orf19.5246,CAALFM_C112180CA,orf19.5246,Q5A3M4, Protein of unknown function,Uncharacterized protein
C1_12170C_A,orf19.5247,CAALFM_C112170CA,orf19.5247,Q5A3M3,,#N/D
C1_12150C_A,orf19.5249,CAALFM_C112150CA,orf19.5249,A0A1D8PFB7,,Uncharacterized protein
C1_12140W_A,orf19.5250,CAALFM_C112140WA,orf19.5250,Q5A3M0, Protein of unknown function,CoA_binding domain-containing protein
C1_12120W_A,orf19.5253,CAALFM_C112120WA,orf19.5253,Q5A3L7,,Protein kinase domain-containing protein
C1_12110C_A,orf19.5254,CAALFM_C112110CA,orf19.5254,Q5A3L6, Protein of unknown function,#N/D
C1_12090C_A,orf19.5256,CAALFM_C112090CA,orf19.5256,Q5A3L4,,#N/D
C1_12070C_A,orf19.5258,CAALFM_C112070CA,orf19.5258,A0A1D8PFB2,,Uncharacterized protein
C1_12060C_A,orf19.5259,CAALFM_C112060CA,orf19.5259,A0A1D8PFD5,,Uncharacterized protein
C1_12040W_A,orf19.5262,CAALFM_C112040WA,orf19.5262,Q5A3K8,,Uncharacterized protein
C1_12020W_A,orf19.5264,CAALFM_C112020WA,orf19.5264,-,,#N/D
C1_12000C_A,orf19.5266,CAALFM_C112000CA,orf19.5266,Q5A3K4,,Uncharacterized protein
C1_11990W_A,orf19.5267,CAALFM_C111990WA,orf19.5267,Q5A3K3,,#N/D
C1_11970C_A,orf19.5269,CAALFM_C111970CA,orf19.5269,Q5A3K1,,Uncharacterized protein
C1_11960C_A,orf19.5269.1,CAALFM_C111960CA,orf19.5269.1,A0A1D8PFA9,,Uncharacterized protein
CR_04370W_A,orf19.527,CAALFM_CR04370WA,orf19.527,-,,Uncharacterized protein
C1_11950W_A,orf19.5270,CAALFM_C111950WA,orf19.5270,Q5A3K0,,Uncharacterized protein
C1_11940C_A,orf19.5271,CAALFM_C111940CA,orf19.5271,Q5A3J9,,#N/D
C1_11930W_A,orf19.5274,CAALFM_C111930WA,orf19.5274,A0A1D8PF97,,#N/D
C1_11920W_A,orf19.5275,CAALFM_C111920WA,orf19.5275,Q5A3J5, Protein of unknown function,#N/D
C1_11910W_A,orf19.5276,CAALFM_C111910WA,orf19.5276,Q5A3J4,,#N/D
C1_11900C_A,orf19.5277,CAALFM_C111900CA,orf19.5277,Q5A3J3,,#N/D
C1_11890W_A,orf19.5278,CAALFM_C111890WA,orf19.5278,Q5A3J2, Protein of unknown function,Uncharacterized protein
C1_11880W_A,orf19.5279,CAALFM_C111880WA,orf19.5279,-, Protein of unknown function,54S ribosomal protein L51, mitochondrial
C1_11860W_A,orf19.5281,CAALFM_C111860WA,orf19.5281,A0A1D8PF90, Predicted essential RNA-binding G protein,#N/D
C1_11850W_A,orf19.5282,CAALFM_C111850WA,orf19.5282,A0A1D8PFC2,,Uncharacterized protein
CR_05420W_A,orf19.5284,CAALFM_CR05420WA,orf19.5284,-,,#N/D
CR_05360C_A,orf19.5287,CAALFM_CR05360CA,orf19.5287,-,,Uncharacterized protein
CR_05330W_A,orf19.5288.1,CAALFM_CR05330WA,orf19.5288.1,-,,Uncharacterized protein
CR_05320C_A,orf19.5289,CAALFM_CR05320CA,orf19.5289,-,,#N/D
CR_04390C_A,orf19.529,CAALFM_CR04390CA,orf19.529,-,,Uncharacterized protein
CR_04400W_A,orf19.529.1,CAALFM_CR04400WA,orf19.529.1,-,,Uncharacterized protein
C4_04200C_A,orf19.5290,CAALFM_C404200CA,orf19.5290,A0A1D8PM07,,Acetyltransf_6 domain-containing protein
C4_04180C_A,orf19.5291,CAALFM_C404180CA,orf19.5291,A0A1D8PM16,,Uncharacterized protein
C4_04160W_A,orf19.5293,CAALFM_C404160WA,orf19.5293,Q5A5V8, Protein of unknown function,Uncharacterized protein
C4_04140W_A,orf19.5295,CAALFM_C404140WA,orf19.5295,A0A1D8PM02,,Endo/exonuclease/phosphatase domain-containing protein
C4_04130W_A,orf19.5296,CAALFM_C404130WA,orf19.5296,Q5A5V4, Protein of unknown function,Uncharacterized protein
C4_04120C_A,orf19.5297,CAALFM_C404120CA,orf19.5297,A0A1D8PLZ6,,TFIIH/NER complex subunit
C4_04110W_A,orf19.5299.1,CAALFM_C404110WA,orf19.5299.1,A0A1D8PM00,,Uncharacterized protein
C1_04990C_A,orf19.53,CAALFM_C104990CA,orf19.53,A0A1D8PDF7,,Uncharacterized protein
CR_04410W_A,orf19.530,CAALFM_CR04410WA,orf19.530,-,,Uncharacterized protein
C4_04090C_A,orf19.5300,CAALFM_C404090CA,orf19.5300,A0A1D8PM03, Calnexin,Calnexin
C4_04060W_A,orf19.5304,CAALFM_C404060WA,orf19.5304,-,,#N/D
C4_04040W_A,orf19.5306,CAALFM_C404040WA,orf19.5306,A0A1D8PLZ3,,Uncharacterized protein
C4_04020C_A,orf19.5308,CAALFM_C404020CA,orf19.5308,Q5A5U1,,Uncharacterized protein
C4_04010W_A,orf19.5311,CAALFM_C404010WA,orf19.5311,A0A1D8PLY8,,GCR1_C domain-containing protein
C2_10460C_A,orf19.5321,CAALFM_C210460CA,orf19.5321,Q5A5S8, Protein of unknown function,Methylenetetrahydrofolate reductase (EC 1.5.1.20)
C2_10470C_A,orf19.5322,CAALFM_C210470CA,orf19.5322,-, Protein of unknown function,Autophagy-related protein 27
CR_04430W_A,orf19.533,CAALFM_CR04430WA,orf19.533,-,,#N/D
C2_10600W_A,orf19.5339,CAALFM_C210600WA,orf19.5339,Q5A5R0,,Uncharacterized protein
C2_10630W_A,orf19.5342,CAALFM_C210630WA,orf19.5342,Q5A5Q7, Protein of unknown function,Metallophos domain-containing protein
C2_10650W_A,orf19.5342.2,CAALFM_C210650WA,orf19.5342.2,A0A1D8PIS1,,#N/D
C2_10670W_A,orf19.5345,CAALFM_C210670WA,orf19.5345,Q5A5Q4, Putative ubiquitin-like polyubiquitin-binding protein,Uncharacterized protein
C2_10680W_A,orf19.5346,CAALFM_C210680WA,orf19.5346,Q5A5Q3,,Uncharacterized protein
C2_10700C_A,orf19.5350,CAALFM_C210700CA,orf19.5350,Q5A5P9, Protein of unknown function,CID domain-containing protein
C2_10720C_A,orf19.5352,CAALFM_C210720CA,orf19.5352,Q5A5P7,,#N/D
C2_10730W_A,orf19.5353,CAALFM_C210730WA,orf19.5353,Q5A5P6,,Uncharacterized protein
C2_10740C_A,orf19.5356,CAALFM_C210740CA,orf19.5356,Q5A5P4, Protein with a predicted role in cell wall integrity,#N/D
C2_10760C_A,orf19.5358,CAALFM_C210760CA,orf19.5358,Q5A5P1,,#N/D
CR_04450C_A,orf19.536,CAALFM_CR04450CA,orf19.536,-, Protein of unknown function,Chromatin modification protein
C2_10790C_A,orf19.5363,CAALFM_C210790CA,orf19.5363,-,,#N/D
C2_10810W_A,orf19.5364,CAALFM_C210810WA,orf19.5364,-,,#N/D
C2_10820C_A,orf19.5365,CAALFM_C210820CA,orf19.5365,A0A1D8PIS7, S. cerevisiae ortholog YMR259C interacts with Trm7 for 2'-O-methylation of C32 of substrate tRNAs,tRNA methylation protein
C2_10830W_A,orf19.5365.1,CAALFM_C210830WA,orf19.5365.1,A0A1D8PIU6,,Uncharacterized protein
C2_10850C_A,orf19.5368,CAALFM_C210850CA,orf19.5368,Q5A5N1, Ortholog of Vms1,bVLRF1 domain-containing protein
C2_10860C_A,orf19.5369,CAALFM_C210860CA,orf19.5369,Q5A5N0, Uroporphyrinogen decarboxylase,#N/D
CR_04460C_A,orf19.537,CAALFM_CR04460CA,orf19.537,-,,Uncharacterized protein
C2_10870W_A,orf19.5370,CAALFM_C210870WA,orf19.5370,A0A1D8PIT1,,#N/D
C3_00790W_A,orf19.5376,CAALFM_C300790WA,orf19.5376,A0A1D8PJ04,,Serine/threonine protein kinase
C3_00730W_A,orf19.5381,CAALFM_C300730WA,orf19.5381,A0A1D8PJ46, Protein of unknown function,PUM-HD domain-containing protein
C3_00740W_A,orf19.5382,CAALFM_C300740WA,orf19.5382,-,,#N/D
C3_00680C_A,orf19.5390,CAALFM_C300680CA,orf19.5390,Q5A7S6,,Uncharacterized protein
C3_00660W_A,orf19.5391,CAALFM_C300660WA,orf19.5391,-, Predicted RNA splicing and ER to Golgi transport protein,Pre-mRNA-splicing factor RSE1
C3_00640W_A,orf19.5393,CAALFM_C300640WA,orf19.5393,Q5A7S3, Putative cysteine sulfinate decarboxylase,Uncharacterized protein
C3_00620C_A,orf19.5394.1,CAALFM_C300620CA,orf19.5394.1,A0A1D8PIZ2,,Uncharacterized protein
C3_00630W_A,orf19.5395,CAALFM_C300630WA,orf19.5395,Q5A7S2, Protein of unknown function,Rav1p_C domain-containing protein
C3_00610W_A,orf19.5397,CAALFM_C300610WA,orf19.5397,Q5A7S0, Putative conserved oligomeric Golgi complex subunit,Golgi transport complex subunit
CR_04490C_A,orf19.540,CAALFM_CR04490CA,orf19.540,-, Protein of unknown function,Uncharacterized protein
C3_00590W_A,orf19.5402,CAALFM_C300590WA,orf19.5402,Q5A7R4,,Uncharacterized protein
C3_00570C_A,orf19.5406,CAALFM_C300570CA,orf19.5406,Q5A7R0,,Phosphatase
CR_04500C_A,orf19.541,CAALFM_CR04500CA,orf19.541,-, Protein of unknown function,Fe2OG dioxygenase domain-containing protein
C3_00530C_A,orf19.5410,CAALFM_C300530CA,orf19.5410,-, Protein of unknown function,Nuclear distribution protein PAC1 (Lissencephaly-1 homolog) (LIS-1) (nudF homolog)
C3_00520W_A,orf19.5411,CAALFM_C300520WA,orf19.5411,Q5A7Q5,,NEDD8-conjugating protein
C3_00510W_A,orf19.5412,CAALFM_C300510WA,orf19.5412,Q5A7Q4,,Uncharacterized protein
C3_00500C_A,orf19.5413,CAALFM_C300500CA,orf19.5413,-,,Pre-mRNA-splicing factor PRP46 (Pre-mRNA-processing protein 46)
C3_00470W_A,orf19.5418,CAALFM_C300470WA,orf19.5418,Q5A7P8, Protein of unknown function,Uncharacterized protein
C3_00450C_A,orf19.5420,CAALFM_C300450CA,orf19.5420,Q5A7P6, Protein of unknown function,Mitochondrial 54S ribosomal protein RML2
C3_00440W_A,orf19.5422,CAALFM_C300440WA,orf19.5422,Q5A7P4,,Uncharacterized protein
C3_00410C_A,orf19.5424,CAALFM_C300410CA,orf19.5424,Q5A7P1,,Uncharacterized protein
C3_00420W_A,orf19.5425,CAALFM_C300420WA,orf19.5425,Q5A7P2,,TRNase Z
C3_00400C_A,orf19.5426,CAALFM_C300400CA,orf19.5426,A0A1D8PIX8,,PNPLA domain-containing protein
C3_00390W_A,orf19.5428,CAALFM_C300390WA,orf19.5428,Q5A7N9,,Mn(2+) transporter
C3_00380C_A,orf19.5429,CAALFM_C300380CA,orf19.5429,Q5A7N7,,DNA-binding SCF ubiquitin ligase subunit
C3_00360W_A,orf19.5431,CAALFM_C300360WA,orf19.5431,Q5A7N5,,Uncharacterized protein
C3_00340W_A,orf19.5433,CAALFM_C300340WA,orf19.5433,-, Protein of unknown function,Mitochondrial zinc maintenance protein 1, mitochondrial
C3_00310C_A,orf19.5438,CAALFM_C300310CA,orf19.5438,Q5A7M8,,SUMO-targeted ubiquitin ligase complex subunit
C3_00300W_A,orf19.5439,CAALFM_C300300WA,orf19.5439,Q5A7M7,,Uncharacterized protein
C3_00270C_A,orf19.5442,CAALFM_C300270CA,orf19.5442,Q5A7M4, Protein of unknown function,Uncharacterized protein
C3_00230C_A,orf19.5446,CAALFM_C300230CA,orf19.5446,Q5A7M0,,Uncharacterized protein
C3_00210C_A,orf19.5449,CAALFM_C300210CA,orf19.5449,Q5A7L7,,Uncharacterized protein
C3_00190W_A,orf19.5451,CAALFM_C300190WA,orf19.5451,Q5A7L4,,Uncharacterized protein
C3_00170C_A,orf19.5455,CAALFM_C300170CA,orf19.5455,Q5A7L0,,DUF202 domain-containing protein
C3_00160C_A,orf19.5457,CAALFM_C300160CA,orf19.5457,Q5A7K9, Protein of unknown function,Uncharacterized protein
C3_00130C_A,orf19.5459,CAALFM_C300130CA,orf19.5459,Q5A7K7, mRNA polyadenylation regulating protein,LsmAD domain-containing protein
C3_00150W_A,orf19.5461,CAALFM_C300150WA,orf19.5461,Q5A7K5,,Uncharacterized protein
C3_00140W_A,orf19.5462,CAALFM_C300140WA,orf19.5462,Q5A7K4,,Uncharacterized protein
C3_00120W_A,orf19.5464,CAALFM_C300120WA,orf19.5464,Q5A7K2,,Uncharacterized protein
C3_00050C_A,orf19.5468,CAALFM_C300050CA,orf19.5468,Q5A7J8,,Uncharacterized protein
C3_00030C_A,orf19.5469,CAALFM_C300030CA,orf19.5469,A0A1D8PIU7,,Uncharacterized protein
CR_04560C_A,orf19.547,CAALFM_CR04560CA,orf19.547,-,,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)
C3_00040W_A,orf19.5472,CAALFM_C300040WA,orf19.5472,-,,#N/D
C3_00010C_A,orf19.5474,CAALFM_C300010CA,orf19.5474,A0A1D8PIW5,,Uncharacterized protein
C3_00020W_A,orf19.5475,CAALFM_C300020WA,orf19.5475,-,,#N/D
C2_06200C_A,orf19.5483,CAALFM_C206200CA,orf19.5483,-,,Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)
C2_06230W_A,orf19.5486,CAALFM_C206230WA,orf19.5486,-, Putative endoribonuclease,Endoribonuclease YSH1 (EC 3.1.27.-) (mRNA 3'-end-processing protein YSH1)
C2_06260W_A,orf19.5488,CAALFM_C206260WA,orf19.5488,Q59P48,,RF_PROK_I domain-containing protein
C2_06270W_A,orf19.5489,CAALFM_C206270WA,orf19.5489,A0A1D8PHM7,,Uncharacterized protein
CR_04580W_A,orf19.549,CAALFM_CR04580WA,orf19.549,-, Protein of unknown function,Mitochondrial 54S ribosomal protein YmL32
C2_06280C_A,orf19.5491,CAALFM_C206280CA,orf19.5491,A0A1D8PHN4,,Uncharacterized protein
C2_06300W_A,orf19.5492,CAALFM_C206300WA,orf19.5492,-,,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)
C2_06320W_A,orf19.5495,CAALFM_C206320WA,orf19.5495,Q59P41,,Uncharacterized protein
C2_06350C_A,orf19.5499,CAALFM_C206350CA,orf19.5499,A0A1D8PHL9,,Uncharacterized protein
C1_05010C_A,orf19.55,CAALFM_C105010CA,orf19.55,A0A1D8PDF5,,PAQR-type receptor
C7_03760W_A,orf19.5502,CAALFM_C703760WA,orf19.5502,A0A1D8PRF6,,Uncharacterized protein
C7_03740C_A,orf19.5503,CAALFM_C703740CA,orf19.5503,-,,#N/D
C7_03730C_A,orf19.5504,CAALFM_C703730CA,orf19.5504,A0A1D8PRF1,,Uncharacterized protein
C7_03690W_A,orf19.5508,CAALFM_C703690WA,orf19.5508,A0A1D8PRD8,,Uncharacterized protein
CR_04600W_A,orf19.551,CAALFM_CR04600WA,orf19.551,-, Protein of unknown function,Uncharacterized protein
C6_02430W_A,orf19.5510,CAALFM_C602430WA,orf19.5510,A0A1D8PPV9, Protein of unknown function,WAC domain-containing protein
C6_02450W_A,orf19.5514,CAALFM_C602450WA,orf19.5514,A0A1D8PPW3,,Uncharacterized protein
C6_02460C_A,orf19.5515,CAALFM_C602460CA,orf19.5515,Q5AC35, Protein of unknown function,Uncharacterized protein
C6_02470W_A,orf19.5516,CAALFM_C602470WA,orf19.5516,A0A1D8PPX2, Protein of unknown function,Signal recognition particle subunit SRP72
C6_02480W_A,orf19.5517,CAALFM_C602480WA,orf19.5517,Q5AC33, Similar to alcohol dehydrogenases,NADP-dependent alcohol dehydrogenase
C6_02490C_A,orf19.5518,CAALFM_C602490CA,orf19.5518,A0A1D8PPX4,,Uncharacterized protein
CR_04610C_A,orf19.552,CAALFM_CR04610CA,orf19.552,-,,Autophagy-related protein 22
C6_02530C_A,orf19.5522,CAALFM_C602530CA,orf19.5522,Q5AC28, Protein of unknown function,Uncharacterized protein
C6_02540C_A,orf19.5523,CAALFM_C602540CA,orf19.5523,A0A1D8PPX5,,Uncharacterized protein
C6_02550W_A,orf19.5524,CAALFM_C602550WA,orf19.5524,A0A1D8PPX1,,Uncharacterized protein
C6_02560W_A,orf19.5525,CAALFM_C602560WA,orf19.5525,A0A1D8PPX6, Putative oxidoreductase,Uncharacterized protein
C6_02580W_A,orf19.5527,CAALFM_C602580WA,orf19.5527,A0A1D8PPY5,,RNA exonuclease
CR_04620C_A,orf19.553,CAALFM_CR04620CA,orf19.553,-,,MFS domain-containing protein
C6_02620C_A,orf19.5532,CAALFM_C602620CA,orf19.5532,A0A1D8PPY1,,Uncharacterized protein
C6_02630C_A,orf19.5533,CAALFM_C602630CA,orf19.5533,A0A1D8PPY0, Protein of unknown function,Guanine nucleotide exchange factor
C6_02640C_A,orf19.5534,CAALFM_C602640CA,orf19.5534,A0A1D8PPZ5,,Uncharacterized protein
C6_02650C_A,orf19.5535,CAALFM_C602650CA,orf19.5535,A0A1D8PPX9,,Uncharacterized protein
C6_02660C_A,orf19.5536,CAALFM_C602660CA,orf19.5536,A0A1D8PPY3,,Putative amidase
C6_02680W_A,orf19.5539,CAALFM_C602680WA,orf19.5539,A0A1D8PPZ2,,SNAP receptor
C6_02690C_A,orf19.5541,CAALFM_C602690CA,orf19.5541,A0A1D8PPY6, Protein with similarity to S. pombe Nrd1p,Uncharacterized protein
C6_02720C_A,orf19.5543,CAALFM_C602720CA,orf19.5543,A0A1D8PPZ6,,Uncharacterized protein
C6_02740W_A,orf19.5547,CAALFM_C602740WA,orf19.5547,A0A1D8PPZ0, Protein of unknown function,Uncharacterized protein
C6_02760W_A,orf19.5549,CAALFM_C602760WA,orf19.5549,A0A1D8PPY7,,Uncharacterized protein
CR_05190W_A,orf19.555,CAALFM_CR05190WA,orf19.555,-,,Uncharacterized protein
C6_02790C_A,orf19.5552,CAALFM_C602790CA,orf19.5552,A0A1D8PQ00,,Uncharacterized protein
C6_02800W_A,orf19.5553,CAALFM_C602800WA,orf19.5553,A0A1D8PPZ9, Protein of unknown function,L-methionine (R)-S-oxide reductase
C6_02810C_A,orf19.5555,CAALFM_C602810CA,orf19.5555,A0A1D8PQ01,,Uncharacterized protein
C6_02820W_A,orf19.5556,CAALFM_C602820WA,orf19.5556,-,,#N/D
CR_05200C_A,orf19.556,CAALFM_CR05200CA,orf19.556,-, Protein of unknown function,Uncharacterized protein
C6_02880W_A,orf19.5564,CAALFM_C602880WA,orf19.5564,A0A1D8PQ03,,RNase H domain-containing protein
C6_02900C_A,orf19.5566,CAALFM_C602900CA,orf19.5566,A0A1D8PQ09,,Putative lipoate--protein ligase
C6_02930W_A,orf19.5569,CAALFM_C602930WA,orf19.5569,A0A1D8PQ22,,Uncharacterized protein
CR_05210W_A,orf19.557,CAALFM_CR05210WA,orf19.557,-,,Uncharacterized protein
C6_02940C_A,orf19.5572,CAALFM_C602940CA,orf19.5572,A0A1D8PQ12,,Uncharacterized protein
C6_02950C_A,orf19.5573,CAALFM_C602950CA,orf19.5573,A0A1D8PQ15,,Uncharacterized protein
C6_02960W_A,orf19.5574,CAALFM_C602960WA,orf19.5574,A0A1D8PQ13,,Putative cysteine synthase
C6_02970C_A,orf19.5575,CAALFM_C602970CA,orf19.5575,A0A1D8PQ11,,Uncharacterized protein
C6_02980C_A,orf19.5576,CAALFM_C602980CA,orf19.5576,A0A1D8PQ17,,Pantothenate kinase
C6_02990W_A,orf19.5578,CAALFM_C602990WA,orf19.5578,A0A1D8PQ16,,Uncharacterized protein
C6_03000C_A,orf19.5579,CAALFM_C603000CA,orf19.5579,A0A1D8PQ24,,Uncharacterized protein
C6_03040C_A,orf19.5586,CAALFM_C603040CA,orf19.5586,A0A1D8PQ27,,Phosphatidylinositol-3,5-bisphosphate 5-phosphatase
C6_03050C_A,orf19.5587,CAALFM_C603050CA,orf19.5587,A0A1D8PQ21,,Uncharacterized protein
C6_03070C_A,orf19.5589,CAALFM_C603070CA,orf19.5589,A0A1D8PQ29,,Uncharacterized protein
C6_03090W_A,orf19.5592,CAALFM_C603090WA,orf19.5592,A0A1D8PQ23,,Uncharacterized protein
C6_03110C_A,orf19.5596,CAALFM_C603110CA,orf19.5596,-,,ASTRA-associated protein 1
C6_03130W_A,orf19.5597.1,CAALFM_C603130WA,orf19.5597.1,A0A1D8PQ38, Protein of unknown function,Uncharacterized protein
C6_03150C_A,orf19.5601,CAALFM_C603150CA,orf19.5601,A0A1D8PQ32,,DUF1992 domain-containing protein
C6_03180C_A,orf19.5605,CAALFM_C603180CA,orf19.5605,A0A1D8PQ35,,Arrestin_C domain-containing protein
C6_03190C_A,orf19.5606,CAALFM_C603190CA,orf19.5606,-,,#N/D
C6_03200W_A,orf19.5607,CAALFM_C603200WA,orf19.5607,A0A1D8PQ33, Protein of unknown function,Uncharacterized protein
C6_03210C_A,orf19.5608,CAALFM_C603210CA,orf19.5608,A0A1D8PQ44, RNA polymerase III subunit,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6)
C6_03220W_A,orf19.5609,CAALFM_C603220WA,orf19.5609,Q5ABU1,,Uncharacterized protein
C6_03240W_A,orf19.5611,CAALFM_C603240WA,orf19.5611,Q5ABT9, Predicted 3-methylbutanol:NAD(P) oxidoreductase and methylglyoxal reductase (NADPH-dependent),Methylglyoxal reductase (NADPH-dependent)
C6_03260W_A,orf19.5614,CAALFM_C603260WA,orf19.5614,A0A1D8PQ43, Putative ribonuclease H1,Ribonuclease H (RNase H) (EC 3.1.26.4)
C6_03280W_A,orf19.5616,CAALFM_C603280WA,orf19.5616,A0A1D8PQ47,,Uncharacterized protein
C6_03290W_A,orf19.5617,CAALFM_C603290WA,orf19.5617,A0A1D8PQ51,,PHD domain-containing protein
C6_03300C_A,orf19.5618,CAALFM_C603300CA,orf19.5618,A0A1D8PQ45, Protein of unknown function,Uncharacterized protein
C6_03310W_A,orf19.5619,CAALFM_C603310WA,orf19.5619,A0A1D8PQ49, Protein of unknown function,Uncharacterized protein
C6_03320W_A,orf19.5620,CAALFM_C603320WA,orf19.5620,A0A1D8PQ54, Stationary phase enriched protein,Uncharacterized protein
C6_03330C_A,orf19.5621,CAALFM_C603330CA,orf19.5621,A0A1D8PQ52,,PX domain-containing protein
C6_03360C_A,orf19.5625,CAALFM_C603360CA,orf19.5625,A0A1D8PQ48,,Uncharacterized protein
C6_03370W_A,orf19.5626,CAALFM_C603370WA,orf19.5626,A0A1D8PQ50,,Uncharacterized protein
C6_03380W_A,orf19.5627,CAALFM_C603380WA,orf19.5627,A0A1D8PQ55, S. cerevisiae ortholog Hek2/Khd1 is a putative RNA binding protein involved in the asymmetric localization of ASH1 mRNA,Uncharacterized protein
C6_03390W_A,orf19.5628,CAALFM_C603390WA,orf19.5628,A0A1D8PQ62, Mitochondrial dicarboxylate transporter,Uncharacterized protein
C4_00100C_A,orf19.5633,CAALFM_C400100CA,orf19.5633,A0A1D8PKZ2,,F-box domain-containing protein
C4_00170W_A,orf19.5642,CAALFM_C400170WA,orf19.5642,Q59US8, Ortholog of S. cerevisiae Dif1,Uncharacterized protein
C4_00190W_A,orf19.5644,CAALFM_C400190WA,orf19.5644,Q59US6,,Uncharacterized protein
C4_00210W_A,orf19.5646,CAALFM_C400210WA,orf19.5646,Q59US4,,T5orf172 domain-containing protein
C4_00230W_A,orf19.5648,CAALFM_C400230WA,orf19.5648,A0A1D8PKZ4, Protein of unknown function,Uncharacterized protein
C4_00250W_A,orf19.5649,CAALFM_C400250WA,orf19.5649,A0A1D8PL34,,Uncharacterized protein
C4_00260W_A,orf19.5651,CAALFM_C400260WA,orf19.5651,A0A1D8PL24,,Histone demethylase
C4_00290C_A,orf19.5655,CAALFM_C400290CA,orf19.5655,A0A1D8PL08,,Rieske domain-containing protein
C4_00320C_A,orf19.5660,CAALFM_C400320CA,orf19.5660,A0A1D8PL05,,Ubiquitin-protein ligase peroxin 10
C4_00330C_A,orf19.5660.1,CAALFM_C400330CA,orf19.5660.1,A0A1D8PL02, Protein of unknown function,ATP synthase subunit e, mitochondrial
C4_00380W_A,orf19.5665,CAALFM_C400380WA,orf19.5665,A0A1D8PL15, Protein of unknown function,D-arabinose 1-dehydrogenase (NAD(P)(+))
C4_00390W_A,orf19.5666,CAALFM_C400390WA,orf19.5666,Q59UQ4, Protein of unknown function,Chromatin-binding transcription coactivator
C4_00410W_A,orf19.5669,CAALFM_C400410WA,orf19.5669,Q59UQ1, Protein with B-cell receptor-associated protein 31-like domain,Endoplasmic reticulum transmembrane protein
C4_00420C_A,orf19.5671,CAALFM_C400420CA,orf19.5671,A0A1D8PL12, Protein of unknown function,MHD domain-containing protein
C4_00460C_A,orf19.5675,CAALFM_C400460CA,orf19.5675,A0A1D8PL46,,Translocase
C4_00470C_A,orf19.5676,CAALFM_C400470CA,orf19.5676,Q59UP4,,RING-type domain-containing protein
C4_00490W_A,orf19.5678,CAALFM_C400490WA,orf19.5678,-,,Diphthamide biosynthesis protein 2-2
C5_00170W_A,orf19.5680,CAALFM_C500170WA,orf19.5680,A0A1D8PMV1,,Usp domain-containing protein
C5_00160W_A,orf19.5681,CAALFM_C500160WA,orf19.5681,A0A1D8PMU3, Protein of unknown function,Uncharacterized protein
C5_00150C_A,orf19.5682,CAALFM_C500150CA,orf19.5682,A0A1D8PMU8, Protein of unknown function,Importin subunit alpha
C5_00140C_A,orf19.5683,CAALFM_C500140CA,orf19.5683,A0A1D8PMU1,,Uncharacterized protein
